date,mot_cle,score
2023-01-01,artificial intelligence,0
2023-01-08,artificial intelligence,0
2023-01-15,artificial intelligence,0
2023-01-22,artificial intelligence,0
2023-01-29,artificial intelligence,1
2023-02-05,artificial intelligence,1
2023-02-12,artificial intelligence,1
2023-02-19,artificial intelligence,1
2023-02-26,artificial intelligence,0
2023-03-05,artificial intelligence,0
2023-03-12,artificial intelligence,0
2023-03-19,artificial intelligence,1
2023-03-26,artificial intelligence,1
2023-04-02,artificial intelligence,1
2023-04-09,artificial intelligence,1
2023-04-16,artificial intelligence,1
2023-04-23,artificial intelligence,1
2023-04-30,artificial intelligence,1
2023-05-07,artificial intelligence,1
2023-05-14,artificial intelligence,1
2023-05-21,artificial intelligence,1
2023-05-28,artificial intelligence,1
2023-06-04,artificial intelligence,1
2023-06-11,artificial intelligence,1
2023-06-18,artificial intelligence,1
2023-06-25,artificial intelligence,1
2023-07-02,artificial intelligence,1
2023-07-09,artificial intelligence,1
2023-07-16,artificial intelligence,1
2023-07-23,artificial intelligence,1
2023-07-30,artificial intelligence,1
2023-08-06,artificial intelligence,1
2023-08-13,artificial intelligence,0
2023-08-20,artificial intelligence,1
2023-08-27,artificial intelligence,1
2023-09-03,artificial intelligence,1
2023-09-10,artificial intelligence,1
2023-09-17,artificial intelligence,1
2023-09-24,artificial intelligence,1
2023-10-01,artificial intelligence,1
2023-10-08,artificial intelligence,1
2023-10-15,artificial intelligence,1
2023-10-22,artificial intelligence,1
2023-10-29,artificial intelligence,1
2023-11-05,artificial intelligence,1
2023-11-12,artificial intelligence,1
2023-11-19,artificial intelligence,1
2023-11-26,artificial intelligence,1
2023-12-03,artificial intelligence,1
2023-12-10,artificial intelligence,1
2023-12-17,artificial intelligence,1
2023-12-24,artificial intelligence,0
2023-12-31,artificial intelligence,0
2024-01-07,artificial intelligence,1
2024-01-14,artificial intelligence,1
2024-01-21,artificial intelligence,1
2024-01-28,artificial intelligence,1
2024-02-04,artificial intelligence,1
2024-02-11,artificial intelligence,1
2024-02-18,artificial intelligence,1
2024-02-25,artificial intelligence,1
2024-03-03,artificial intelligence,1
2024-03-10,artificial intelligence,1
2024-03-17,artificial intelligence,1
2024-03-24,artificial intelligence,1
2024-03-31,artificial intelligence,1
2024-04-07,artificial intelligence,1
2024-04-14,artificial intelligence,1
2024-04-21,artificial intelligence,1
2024-04-28,artificial intelligence,1
2024-05-05,artificial intelligence,1
2024-05-12,artificial intelligence,1
2024-05-19,artificial intelligence,1
2024-05-26,artificial intelligence,1
2024-06-02,artificial intelligence,1
2024-06-09,artificial intelligence,1
