country,mot_cle,score
Afghanistan,artificial intelligence,7
Afrique du Sud,artificial intelligence,8
Albanie,artificial intelligence,8
Algérie,artificial intelligence,5
Allemagne,artificial intelligence,4
Andorre,artificial intelligence,6
Angola,artificial intelligence,3
Anguilla,artificial intelligence,0
Antarctique,artificial intelligence,0
Antigua-et-Barbuda,artificial intelligence,5
Arabie saoudite,artificial intelligence,6
Argentine,artificial intelligence,2
Arménie,artificial intelligence,4
Aruba,artificial intelligence,6
Australie,artificial intelligence,6
Autriche,artificial intelligence,4
Azerbaïdjan,artificial intelligence,7
Bahamas,artificial intelligence,6
Bahreïn,artificial intelligence,8
Bangladesh,artificial intelligence,7
Barbade,artificial intelligence,8
Belgique,artificial intelligence,4
Belize,artificial intelligence,8
Bermudes,artificial intelligence,7
Bhoutan,artificial intelligence,10
Biélorussie,artificial intelligence,1
Bolivie,artificial intelligence,2
Bosnie-Herzégovine,artificial intelligence,3
Botswana,artificial intelligence,16
Brunei,artificial intelligence,9
Brésil,artificial intelligence,3
Bulgarie,artificial intelligence,4
Burkina Faso,artificial intelligence,3
Burundi,artificial intelligence,5
Bénin,artificial intelligence,4
Cambodge,artificial intelligence,3
Cameroun,artificial intelligence,6
Canada,artificial intelligence,6
Cap-Vert,artificial intelligence,5
Chili,artificial intelligence,2
Chine,artificial intelligence,22
Chypre,artificial intelligence,6
Colombie,artificial intelligence,2
Comores,artificial intelligence,0
Congo-Brazzaville,artificial intelligence,2
Congo-Kinshasa,artificial intelligence,1
Corée du Nord,artificial intelligence,0
Corée du Sud,artificial intelligence,11
Costa Rica,artificial intelligence,4
Croatie,artificial intelligence,3
Cuba,artificial intelligence,1
Curaçao,artificial intelligence,7
Côte d’Ivoire,artificial intelligence,2
Danemark,artificial intelligence,4
Djibouti,artificial intelligence,7
Dominique,artificial intelligence,0
Espagne,artificial intelligence,4
Estonie,artificial intelligence,5
Eswatini,artificial intelligence,19
Fidji,artificial intelligence,8
Finlande,artificial intelligence,4
France,artificial intelligence,3
Gabon,artificial intelligence,3
Gambie,artificial intelligence,8
Ghana,artificial intelligence,12
Gibraltar,artificial intelligence,0
Grenade,artificial intelligence,10
Groenland,artificial intelligence,0
Grèce,artificial intelligence,5
Guadeloupe,artificial intelligence,0
Guam,artificial intelligence,5
Guatemala,artificial intelligence,1
Guernesey,artificial intelligence,4
Guinée,artificial intelligence,2
Guinée équatoriale,artificial intelligence,0
Guinée-Bissau,artificial intelligence,0
Guyana,artificial intelligence,9
Guyane française,artificial intelligence,0
Géorgie,artificial intelligence,5
Géorgie du Sud-et-les Îles Sandwich du Sud,artificial intelligence,0
Haïti,artificial intelligence,2
Honduras,artificial intelligence,2
Hong Kong,artificial intelligence,8
Hongrie,artificial intelligence,3
Inde,artificial intelligence,13
Indonésie,artificial intelligence,4
Irak,artificial intelligence,8
Iran,artificial intelligence,3
Irlande,artificial intelligence,6
Islande,artificial intelligence,6
Israël,artificial intelligence,5
Italie,artificial intelligence,5
Jamaïque,artificial intelligence,7
Japon,artificial intelligence,2
Jersey,artificial intelligence,4
Jordanie,artificial intelligence,8
Kazakhstan,artificial intelligence,4
Kenya,artificial intelligence,11
Kirghizstan,artificial intelligence,2
Kiribati,artificial intelligence,0
Kosovo,artificial intelligence,9
Koweït,artificial intelligence,5
La Réunion,artificial intelligence,1
Laos,artificial intelligence,5
Lesotho,artificial intelligence,17
Lettonie,artificial intelligence,5
Liban,artificial intelligence,9
Liberia,artificial intelligence,10
Libye,artificial intelligence,5
Liechtenstein,artificial intelligence,6
Lituanie,artificial intelligence,6
Luxembourg,artificial intelligence,7
Macao,artificial intelligence,6
Macédoine du Nord,artificial intelligence,6
Madagascar,artificial intelligence,4
Malaisie,artificial intelligence,8
Malawi,artificial intelligence,13
Maldives,artificial intelligence,7
Mali,artificial intelligence,1
Malte,artificial intelligence,8
Maroc,artificial intelligence,6
Martinique,artificial intelligence,2
Maurice,artificial intelligence,9
Mauritanie,artificial intelligence,3
Mayotte,artificial intelligence,0
Mexique,artificial intelligence,2
Micronésie,artificial intelligence,0
Moldavie,artificial intelligence,3
Monaco,artificial intelligence,0
Mongolie,artificial intelligence,8
Montserrat,artificial intelligence,0
Monténégro,artificial intelligence,4
Mozambique,artificial intelligence,2
Myanmar (Birmanie),artificial intelligence,5
Namibie,artificial intelligence,11
Nauru,artificial intelligence,0
Nicaragua,artificial intelligence,2
Niger,artificial intelligence,2
Nigeria,artificial intelligence,14
Niue,artificial intelligence,0
Norvège,artificial intelligence,4
Nouvelle-Calédonie,artificial intelligence,0
Nouvelle-Zélande,artificial intelligence,4
Népal,artificial intelligence,10
Oman,artificial intelligence,8
Ouganda,artificial intelligence,9
Ouzbékistan,artificial intelligence,6
Pakistan,artificial intelligence,14
Palaos,artificial intelligence,0
Palestine,artificial intelligence,8
Panama,artificial intelligence,3
Papouasie-Nouvelle-Guinée,artificial intelligence,25
Paraguay,artificial intelligence,2
Pays-Bas,artificial intelligence,6
Pays-Bas caribéens,artificial intelligence,0
Philippines,artificial intelligence,11
Pologne,artificial intelligence,2
Polynésie française,artificial intelligence,0
Porto Rico,artificial intelligence,4
Portugal,artificial intelligence,5
Pérou,artificial intelligence,3
Qatar,artificial intelligence,8
Roumanie,artificial intelligence,4
Royaume-Uni,artificial intelligence,6
Russie,artificial intelligence,2
Rwanda,artificial intelligence,18
République centrafricaine,artificial intelligence,0
République dominicaine,artificial intelligence,2
Sahara occidental,artificial intelligence,6
Saint-Barthélemy,artificial intelligence,0
Saint-Christophe-et-Niévès,artificial intelligence,0
Saint-Marin,artificial intelligence,0
Saint-Martin,artificial intelligence,0
Saint-Martin (partie néerlandaise),artificial intelligence,0
Saint-Pierre-et-Miquelon,artificial intelligence,0
Saint-Vincent-et-les Grenadines,artificial intelligence,7
Sainte-Hélène,artificial intelligence,22
Sainte-Lucie,artificial intelligence,6
Salvador,artificial intelligence,2
Samoa,artificial intelligence,0
Samoa américaines,artificial intelligence,0
