date,intelligence artificielle,crypto,Netflix,Tesla,ChatGPT
2023-01-01,0,2,41,8,5
2023-01-08,0,2,35,8,8
2023-01-15,0,2,33,8,9
2023-01-22,0,2,35,8,11
2023-01-29,0,2,35,7,13
2023-02-05,0,2,34,7,16
2023-02-12,0,2,32,7,17
2023-02-19,0,2,33,7,17
2023-02-26,0,2,31,8,15
2023-03-05,0,2,30,7,16
2023-03-12,0,3,29,6,18
2023-03-19,0,2,28,6,20
2023-03-26,0,2,29,6,21
2023-04-02,0,2,29,7,20
2023-04-09,0,2,31,6,21
2023-04-16,0,2,31,7,21
2023-04-23,0,2,30,6,22
2023-04-30,0,2,30,6,21
2023-05-07,0,2,28,6,22
2023-05-14,0,2,29,6,22
2023-05-21,0,2,33,6,22
2023-05-28,0,2,30,6,21
2023-06-04,0,2,32,7,21
2023-06-11,0,2,31,7,20
2023-06-18,0,2,32,7,19
2023-06-25,0,2,32,7,17
2023-07-02,0,2,30,7,17
2023-07-09,0,2,31,7,18
2023-07-16,0,2,31,8,16
2023-07-23,0,2,31,7,16
2023-07-30,0,2,30,7,15
2023-08-06,0,2,30,7,17
2023-08-13,0,2,30,7,16
2023-08-20,0,2,29,7,16
2023-08-27,0,2,32,7,18
2023-09-03,0,2,32,7,19
2023-09-10,0,2,29,7,20
2023-09-17,0,2,32,7,21
2023-09-24,0,2,29,7,22
2023-10-01,0,2,30,7,22
2023-10-08,0,2,30,6,22
2023-10-15,0,2,29,7,23
2023-10-22,0,2,28,6,23
2023-10-29,0,2,31,6,21
2023-11-05,0,2,30,6,25
2023-11-12,0,2,28,6,24
2023-11-19,0,2,29,6,24
2023-11-26,0,2,29,7,26
2023-12-03,0,3,30,7,27
2023-12-10,0,3,33,7,25
2023-12-17,0,3,31,7,20
2023-12-24,0,3,37,7,15
2023-12-31,0,3,39,6,18
2024-01-07,0,3,33,6,23
2024-01-14,0,3,33,6,23
2024-01-21,0,2,34,7,22
2024-01-28,0,2,32,7,22
2024-02-04,0,2,30,7,23
2024-02-11,0,3,32,6,24
2024-02-18,0,3,34,6,24
2024-02-25,0,4,33,6,26
2024-03-03,0,6,33,6,27
2024-03-10,0,5,31,6,25
2024-03-17,0,4,30,7,25
2024-03-24,0,4,33,7,23
2024-03-31,0,4,30,7,23
2024-04-07,0,3,29,7,25
2024-04-14,0,3,28,8,27
2024-04-21,0,3,30,9,28
2024-04-28,0,3,32,8,26
2024-05-05,0,2,28,7,25
2024-05-12,0,3,29,7,29
2024-05-19,0,3,29,7,29
2024-05-26,0,3,30,7,29
2024-06-02,0,3,30,7,34
2024-06-09,0,3,31,7,27
2024-06-16,0,3,28,7,24
2024-06-23,0,2,27,6,23
2024-06-30,0,3,28,7,22
2024-07-07,0,2,27,7,22
2024-07-14,0,3,28,7,22
2024-07-21,0,3,30,8,22
2024-07-28,0,2,26,6,22
2024-08-04,0,3,26,7,25
2024-08-11,0,2,28,7,27
2024-08-18,0,2,28,6,29
2024-08-25,0,2,28,6,32
2024-09-01,0,2,29,6,34
2024-09-08,0,2,27,6,38
2024-09-15,0,2,28,6,38
2024-09-22,0,3,31,6,42
2024-09-29,0,2,29,6,40
2024-10-06,0,2,30,8,45
2024-10-13,0,2,29,8,46
2024-10-20,0,2,28,8,48
2024-10-27,0,3,30,7,44
2024-11-03,0,3,28,9,50
2024-11-10,0,6,42,9,52
2024-11-17,0,5,30,8,52
2024-11-24,0,5,30,8,51
2024-12-01,0,7,30,8,51
2024-12-08,0,6,30,9,53
2024-12-15,0,5,31,9,46
2024-12-22,0,4,42,8,37
2024-12-29,0,4,41,10,33
2025-01-05,0,4,36,8,49
2025-01-12,0,5,31,8,46
2025-01-19,0,8,30,8,52
2025-01-26,0,5,31,8,54
2025-02-02,0,5,29,8,56
2025-02-09,0,3,28,8,55
2025-02-16,0,4,30,7,57
2025-02-23,0,4,28,9,58
2025-03-02,0,5,30,10,59
2025-03-09,0,3,28,17,58
2025-03-16,0,3,33,15,61
2025-03-23,0,3,30,13,66
2025-03-30,0,3,30,14,95
2025-04-06,0,3,27,12,76
2025-04-13,0,2,28,8,69
2025-04-20,0,3,28,10,73
2025-04-27,0,2,27,8,75
2025-05-04,0,3,27,7,74
2025-05-11,0,3,26,8,78
2025-05-18,0,3,27,7,81
2025-05-25,0,3,29,7,78
2025-06-01,0,3,28,10,80
2025-06-08,0,3,27,8,84
2025-06-15,0,3,27,7,78
2025-06-22,0,3,30,8,79
2025-06-29,0,2,28,8,76
2025-07-06,0,3,35,8,75
2025-07-13,0,5,31,8,77
2025-07-20,0,4,31,9,76
2025-07-27,0,5,31,8,81
2025-08-03,0,6,30,10,85
2025-08-10,0,10,30,10,85
2025-08-17,0,9,29,10,87
2025-08-24,0,7,30,9,91
2025-08-31,0,6,30,9,89
2025-09-07,0,7,29,9,100
2025-09-14,0,6,28,10,100
2025-09-21,0,7,28,10,93
2025-09-28,0,7,31,10,92
2025-10-05,0,7,31,9,97
2025-10-12,0,7,30,8,97
2025-10-19,0,6,31,8,96
2025-10-26,0,5,28,8,91
2025-11-02,0,6,26,9,94
2025-11-09,0,5,27,8,96
2025-11-16,0,6,27,9,99
2025-11-23,0,5,28,8,84
2025-11-30,0,5,32,8,86
2025-12-07,0,5,31,8,84
2025-12-14,0,5,31,8,81
2025-12-21,0,4,34,7,64
2025-12-28,0,3,37,7,61
